,Date,Time,Cases,Deaths,Recovered
0,12-Apr,9:06 AM,1780315,108828,404031
0,12-Apr,10:06 AM,1780315,108828,404031
0,12-Apr,11:06 AM,1780713,108837,404491
0,12-Apr,12:06 PM,1781047,108854,404554
0,12-Apr,1:06 PM,1781432,108883,404616
0,12-Apr,2:06 PM,1784331,108962,405043
0,12-Apr,3:06 PM,1786769,109275,405726
0,12-Apr,4:06 PM,1790564,109654,409540
0,12-Apr,5:06 PM,1792732,109782,411515
0,12-Apr,6:06 PM,1794819,109933,411819
0,12-Apr,7:06 PM,1796013,110012,411997
0,12-Apr,8:06 PM,1797518,110075,412129
0,12-Apr,9:06 PM,1804714,110871,412490
0,12-Apr,10:06 PM,1812745,112248,415254
0,12-Apr,11:06 PM,1830982,113008,416949
0,13-Apr,12:06 AM,1836959,113261,421363
0,13-Apr,01:06 AM,1838211,113313,421764
0,13-Apr,02:06 AM,1844983,113793,421767
0,13-Apr,03:06 AM,1847077,113900,421899
0,13-Apr,04:06 AM,1848388,113946,422556
0,13-Apr,05:06 AM,1851011,114098,422566
0,13-Apr,06:06 AM,1851734,114179,423286
0,13-Apr,07:06 AM,1852652,114208,423400
0,13-Apr,08:06 AM,1853155,114247,423554
0,13-Apr,09:06 AM,1853155,114247,423625
0,13-Apr,10:06 AM,1853183,114248,423625
0,13-Apr,11:06 AM,1853495,114254,423721
0,13-Apr,12:06 PM,1853610,114271,427806
0,13-Apr,01:06 PM,1854174,114291,427896
0,13-Apr,02:06 PM,1857115,114332,428322
0,13-Apr,03:06 PM,1858800,114698,429020
0,13-Apr,04:06 PM,1862028,114980,431613
0,13-Apr,05:06 PM,1864613,115101,433823
0,13-Apr,06:06 PM,1866654,115269,434054
0,13-Apr,07:06 PM,1867130,115279,434098
0,13-Apr,08:06 PM,1872825,116037,434840
0,13-Apr,09:06 PM,1875590,116096,435457
0,13-Apr,10:06 PM,1882408,117438,437561
0,13-Apr,11:06 PM,1897283,117702,438205
0,14-Apr,12:06 AM,1909244,118497,440273
0,14-Apr,01:06 AM,1911599,118669,441232
